behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
strong_village_information,strong_shift,5,policy_lost_existing_won,seed_101_base_1_regime_strong_village_information,frozen_ml_epsilon_010,4,101,10,hunter,0.023464669916932968
weak_village_information,strong_shift,7,strong_distribution_shift,seed_101_base_1_regime_weak_village_information,frozen_ml,2,101,4,villager,0.0015954529231980707
weak_village_information,strong_shift,7,strong_distribution_shift,seed_101_base_1_regime_weak_village_information,frozen_ml,3,101,6,witch,0.0006251017571164974
weak_village_information,strong_shift,7,strong_distribution_shift,seed_101_base_1_regime_weak_village_information,frozen_hybrid_50_50,2,101,4,villager,0.0015954529231980707
weak_village_information,strong_shift,7,strong_distribution_shift,seed_101_base_1_regime_weak_village_information,frozen_hybrid_50_50,3,101,7,seer,0.0006251017571164974
weak_village_information,strong_shift,7,strong_distribution_shift,seed_101_base_1_regime_weak_village_information,frozen_ml_epsilon_010,2,101,4,villager,0.0015954529231980707
weak_village_information,strong_shift,7,strong_distribution_shift,seed_101_base_1_regime_weak_village_information,frozen_ml_epsilon_010,3,101,6,witch,0.0006251017571164974
mixed_seer_strategy,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_mixed_seer_strategy,frozen_ml,2,101,5,hunter,0.002402596921220468
mixed_seer_strategy,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_mixed_seer_strategy,frozen_ml,3,101,4,seer,0.014534838496227942
mixed_seer_strategy,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_mixed_seer_strategy,frozen_hybrid_50_50,2,101,5,hunter,0.002402596921220468
mixed_seer_strategy,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_mixed_seer_strategy,frozen_hybrid_50_50,3,101,4,seer,0.014534838496227942
mixed_seer_strategy,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_mixed_seer_strategy,frozen_ml_epsilon_010,2,101,5,hunter,0.002402596921220468
mixed_seer_strategy,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_mixed_seer_strategy,frozen_ml_epsilon_010,3,101,4,seer,0.014534838496227942
mixed_voting_strategy,strong_shift,5,strong_distribution_shift,seed_101_base_1_regime_mixed_voting_strategy,frozen_ml,2,101,5,seer,0.0043392830434431096
mixed_voting_strategy,strong_shift,5,strong_distribution_shift,seed_101_base_1_regime_mixed_voting_strategy,frozen_hybrid_50_50,2,101,4,hunter,0.004793892798732768
mixed_voting_strategy,strong_shift,5,strong_distribution_shift,seed_101_base_1_regime_mixed_voting_strategy,frozen_ml_epsilon_010,2,101,5,seer,0.0043392830434431096
mixed_wolf_deception_strategy,in_distribution,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_ml,1,101,8,villager,0.01072202317880988
mixed_wolf_deception_strategy,strong_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_ml,2,101,9,witch,0.007249837703161233
mixed_wolf_deception_strategy,mild_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_ml,3,101,2,hunter,0.024602349423074488
mixed_wolf_deception_strategy,mild_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_hybrid_50_50,1,101,1,villager,0.01072202317880988
mixed_wolf_deception_strategy,strong_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_hybrid_50_50,2,101,9,witch,0.007249837703161233
mixed_wolf_deception_strategy,strong_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_hybrid_50_50,3,101,4,villager,0.024602349423074488
mixed_wolf_deception_strategy,in_distribution,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_ml_epsilon_010,1,101,8,villager,0.01072202317880988
mixed_wolf_deception_strategy,strong_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_ml_epsilon_010,2,101,9,witch,0.007249837703161233
mixed_wolf_deception_strategy,mild_shift,6,policy_lost_existing_won,seed_101_base_1_regime_mixed_wolf_deception_strategy,frozen_ml_epsilon_010,3,101,2,hunter,0.024602349423074488
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_ml,3,102,2,villager,0.006782869766248867
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_ml,4,102,8,villager,0.0419696041114932
baseline_speech_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,2,102,1,villager,0.005977961869629511
baseline_speech_enabled,strong_shift,4,strong_distribution_shift,seed_102_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,3,102,8,villager,0.0019148092131828776
