behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,frozen_ml_target,game_id,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
deception_enabled,strong_shift,3,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_existing_with_ml_shadow,stage2b_seed_220_base_1_regime_deception_enabled,existing_with_ml_shadow,3,220,3,hunter,0.0010032794756740238
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_deception_enabled,selective_ml_override,2,220,10,seer,0.002402596921220357
deception_enabled,strong_shift,3,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_selective_ml_override,stage2b_seed_220_base_1_regime_deception_enabled,selective_ml_override,3,220,3,hunter,0.0010032794756740238
deception_enabled,mild_shift,10,low_margin_decision,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_deception_enabled,high_confidence_shadow,2,220,10,seer,0.002402596921220357
deception_enabled,strong_shift,3,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_deception_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_deception_enabled,high_confidence_shadow,3,220,3,hunter,0.0010032794756740238
heterogeneous_risk_preference,in_distribution,6,low_margin_decision,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_first_kill_only,1,220,2,villager,0.01072202317880988
heterogeneous_risk_preference,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_first_kill_only,2,220,10,witch,0.012121340624356325
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_first_kill_only,3,220,3,hunter,0.00897795560170389
heterogeneous_risk_preference,in_distribution,6,low_margin_decision,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_single_random_kill,1,220,6,seer,0.01072202317880988
heterogeneous_risk_preference,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_single_random_kill,2,220,10,witch,0.012121340624356325
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_single_random_kill,3,220,3,hunter,0.00897795560170389
heterogeneous_risk_preference,in_distribution,6,low_margin_decision,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_first_two_kills,1,220,2,villager,0.01072202317880988
heterogeneous_risk_preference,strong_shift,10,strong_distribution_shift,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_first_two_kills,2,220,2,villager,0.012121340624356325
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_ml_first_two_kills,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,ml_first_two_kills,3,220,3,hunter,0.004361159948030213
heterogeneous_risk_preference,in_distribution,6,low_margin_decision,2,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_continuous_frozen_ml,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference,continuous_frozen_ml,1,220,2,villager,0.01072202317880988
